Node1,Node2
Q96RD6,Q96RD7
P08514,P16671
P50479,Q9UM54
Q8TBA6,Q96JB2
P54646,Q9C0K7
Q13895,Q9UI30
Q8IUC6,Q9BYX4
P42285,Q03701
P41595,Q13936
O60573,Q9HBH9
Q9HAP2,Q9UH92
Q03701,Q9NW13
Q9BVS4,Q9UNQ2
P00533,P09619
P62424,Q9UHA3
P39019,P84098
P08575,P32248
O00512,Q71DI3
Q02539,Q6FI13
Q6UXN9,Q9UKF6
P40200,Q92692
O00268,Q9H7Z6
P02766,Q15109
Q92922,Q9UIG0
O95926,Q9UBB9
P56937,Q16678
P28330,P30084
Q8WWN8,Q96B97
Q08AM6,Q5MNZ9
Q969X6,Q9UNQ2
Q9BQ67,Q9UHA3
P10916,Q00872
P14635,Q9UKT4
P01100,P24385
P19634,P54707
P31749,Q00987
P47813,Q9HA92
Q9NX70,Q9Y3C7
P05111,Q13705
Q93034,Q96S21
Q9P015,Q9P0M9
Q14674,Q9UQE7
P14920,P59103
P09496,P63010
P78396,Q15717
O60841,P82664
P62891,P84098
P10914,P17947
A0A3B3ISG8,O75251
P55196,Q92692
Q6P597,Q9NSK0
P52298,Q86U42
Q9H0A0,Q9Y2X3
P51003,Q13242
P06576,Q96IX5
P22612,P23443
Q15398,Q96GD4
P11597,Q13790
P11172,Q9BZX2
Q96N21,Q9UPM8
P23327,Q93084
Q15012,Q86VI4
Q13247,Q16629
O43933,P50542
P02776,P13500
Q14653,Q92844
P50583,Q13232
Q13596,Q9Y5X3
P57771,Q96I99
O00203,Q96EV8
A0A0C4DH30,Q14973
P19174,Q99627
P21675,P50613
P25445,P50591
Q6RFH5,Q9NQ55
O14777,Q5FBB7
Q7RTV0,Q9P021
Q9UBV4,Q9UP38
P62987,Q9Y2R9
P10276,P29590
O14640,Q9NPG1
P07942,Q16363
O15264,P01100
Q9BVW5,Q9UNS1
O15211,P11233
P82663,Q9BYD6
